
 aTc_sensor_I/O  IPTG_sensor_I/O  aTc_sensor  IPTG_sensor  CI_I/O  CI434_I/O  PsrA_I/O  LexA_I/O  QacR_I/O  BM3RI_I/O  PhlF_I/O  IcaR_I/O  CI                    CI434                 PsrA                  LexA                  QacR                   BM3RI                 PhlF                 IcaR                 YFP_reporter_I/O  RFP_reporter_I/O  YFP_reporter          RFP_reporter          

 0               0                0.002       0.0082       1       0          0         0         0         1          1         1         3.819268070224799     0.020029539279600553  0.01214007115675402   0.011448883350726148  0.0020919111858669357  5.048792203387259     3.209999808273917    2.6487268110929163   1                 0                 5.048792203387259     0.0020919111858669357 
 0               1                0.002       2.5          0       0          0         1         1         0          1         0         0.020860358410040403  0.020299854018570488  0.01201085743544651   2.22999915862364      2.22695769298105       0.00470872256678233   3.209999808273917    0.00396255375624779  0                 1                 0.00470872256678233   2.22695769298105      
 1               0                2.5         0.0082       0       0          1         0         1         0          0         1         0.02085382642553497   0.020626662347089618  2.6199982434960467    0.011035544725847718  2.226615619645746      0.004428164201420228  0.00647062093859135  2.6487268110929163   0                 1                 0.004428164201420228  2.226615619645746     
 1               1                2.5         2.5          0       1          0         0         0         1          0         0         0.020102014845464235  3.569989590759357     0.012427007644848262  0.011557966367889558  0.0021151583018559736  5.047655330767436     0.00647062093859135  0.00396255375624779  1                 0                 5.047655330767436     0.0021151583018559736 

